Spatial Pixel,Element,Ref Wavelength (nm),Fitted centre (nm),LOS Velocity (km/s),Line Core Intensity
0,Line 0,299.775,299.7756502766893,0.6503145594984803,0.6888524889945984
0,Line 1,299.8125,299.8123867996946,-0.11319273814212517,0.694770097732544
0,Line 2,299.84499999999997,299.84461638797046,-0.3835448089676337,0.8100007176399231
0,Line 3,299.87,299.87093753755755,0.9372951240351834,0.6855034828186035
0,Line 4,299.88,299.880770314097,0.7700892242585454,0.5978739261627197
0,Line 5,299.92499999999995,299.92439893560754,-0.6007987717519799,0.7637365460395813
0,Line 6,299.95,299.95072987285573,0.729489506419978,0.6697422862052917
0,Line 7,299.97499999999997,299.9754223516832,0.4220946721011832,0.7634709477424622
0,Line 8,300.0,299.9994771306512,-0.522507624298009,0.7856186032295227
0,Line 9,300.03749999999997,300.03864536129106,1.1444258692835234,0.6050297617912292
